# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
135,258,-248,0.1
135,262,-285,0.1
135,393,-427,0.1
135,400,-436,0.1
135,400,-436,0.1
125,400,-435,0.1
125,379,-413,0.1
125,368,-399,0.1
125,365,-400,0.1
125,366,-400,0.1
191,365,-400,0.1
191,500,-544,0.1
191,578,-626,0.1
191,586,-635,0.1
191,587,-635,0.1
244,587,-636,0.1
244,690,-744,0.1
244,751,-810,0.1
244,762,-814,0.1
244,764,-815,0.1
94,765,-815,0.1
94,461,-491,0.1
94,279,-299,0.1
94,267,-286,0.1
94,265,-285,0.1
2,265,-285,0.1
2,68,-67,0.1
2,0,0,0.1
2,0,0,0.1
2,0,0,0.1
161,0,0,0.1
161,308,-339,0.1
161,471,-507,0.1
161,483,-520,0.1
161,485,-526,0.1
166,485,-528,0.1
166,493,-538,0.1
166,498,-543,0.1
166,499,-544,0.1
166,498,-543,0.1
179,498,-544,0.1
179,524,-574,0.1
179,539,-593,0.1
179,542,-595,0.1
179,543,-597,0.1
150,543,-596,0.1
150,483,-529,0.1
150,448,-483,0.1
150,445,-479,0.1
150,445,-480,0.1
169,445,-477,0.1
169,480,-522,0.1
169,502,-549,0.1
169,504,-551,0.1
169,505,-552,0.1
137,505,-552,0.1
137,440,-477,0.1
137,404,-436,0.1
137,398,-434,0.1
137,400,-432,0.1
153,401,-433,0.1
153,432,-467,0.1
153,452,-485,0.1
153,454,-487,0.1
153,453,-486,0.1
11,455,-486,0.1
11,149,-157,0.1
11,4,-8,0.1
11,0,-2,0.1
11,0,0,0.1
119,0,0,0.1
119,220,-242,0.1
119,334,-361,0.1
119,342,-370,0.1
119,343,-372,0.1
52,342,-373,0.1
52,201,-216,0.1
52,132,-143,0.1
52,127,-140,0.1
52,128,-139,0.1
166,127,-140,0.1
166,362,-391,0.1
166,486,-526,0.1
166,495,-542,0.1
166,495,-543,0.1
79,496,-542,0.1
79,315,-343,0.1
79,221,-236,0.1
79,215,-229,0.1
79,214,-229,0.1
63,213,-230,0.1
63,181,-192,0.1
63,165,-177,0.1
63,163,-176,0.1
63,163,-177,0.1
38,163,-176,0.1
38,109,-119,0.1
38,87,-94,0.1
38,85,-92,0.1
38,83,-93,0.1
61,83,-93,0.1
61,132,-145,0.1
61,156,-170,0.1
61,157,-170,0.1
61,157,-172,0.1
24,157,-171,0.1
24,77,-84,0.1
24,41,-48,0.1
24,38,-47,0.1
24,38,-48,0.1
68,37,-47,0.1
68,132,-147,0.1
68,176,-192,0.1
68,179,-195,0.1
68,179,-195,0.1
86,179,-194,0.1
86,219,-237,0.1
86,236,-256,0.1
86,239,-256,0.1
86,239,-255,0.1
251,238,-256,0.1
251,563,-608,0.1
251,753,-811,0.1
251,777,-827,0.1
251,779,-835,0.1
66,782,-843,0.1
66,601,-633,0.1
66,175,-188,0.1
66,174,-185,0.1
66,174,-186,0.1
169,174,-186,0.1
169,385,-413,0.1
169,496,-539,0.1
169,507,-552,0.1
169,508,-553,0.1
142,507,-552,0.1
142,451,-490,0.1
142,422,-452,0.1
142,418,-449,0.1
142,419,-450,0.1
249,418,-448,0.1
249,627,-677,0.1
249,755,-811,0.1
249,772,-828,0.1
249,778,-832,0.1
149,776,-834,0.1
149,581,-622,0.1
149,456,-490,0.1
149,445,-474,0.1
149,442,-473,0.1
230,443,-472,0.1
230,605,-649,0.1
230,703,-751,0.1
230,713,-766,0.1
230,714,-769,0.1
238,716,-771,0.1
238,731,-786,0.1
238,741,-794,0.1
238,744,-797,0.1
238,745,-799,0.1
196,742,-799,0.1
196,668,-712,0.1
196,618,-659,0.1
196,613,-652,0.1
196,609,-653,0.1
200,612,-652,0.1
200,618,-662,0.1
200,624,-666,0.1
200,624,-667,0.1
200,624,-666,0.1
153,625,-667,0.1
153,523,-565,0.1
153,462,-498,0.1
153,456,-489,0.1
153,455,-487,0.1
243,454,-487,0.1
243,632,-680,0.1
243,741,-797,0.1
243,757,-810,0.1
243,760,-814,0.1
201,762,-815,0.1
201,683,-728,0.1
201,634,-676,0.1
201,628,-672,0.1
201,630,-669,0.1
222,629,-669,0.1
222,668,-713,0.1
222,692,-738,0.1
222,696,-740,0.1
222,695,-740,0.1
18,696,-737,0.1
18,265,-273,0.1
18,34,-36,0.1
18,22,-27,0.1
18,21,-28,0.1
15,21,-27,0.1
15,14,-20,0.1
15,11,-17,0.1
15,12,-17,0.1
15,11,-17,0.1
104,11,-17,0.1
104,198,-217,0.1
104,293,-314,0.1
104,297,-319,0.1
104,300,-320,0.1
114,301,-319,0.1
114,317,-339,0.1
114,327,-351,0.1
114,327,-352,0.1
114,327,-352,0.1
112,327,-351,0.1
112,321,-347,0.1
112,318,-342,0.1
112,319,-343,0.1
112,318,-343,0.1
217,318,-342,0.1
217,530,-574,0.1
217,661,-706,0.1
217,675,-721,0.1
217,676,-719,0.1
119,676,-720,0.1
119,479,-508,0.1
119,354,-384,0.1
119,344,-369,0.1
119,343,-369,0.1
206,342,-368,0.1
206,518,-558,0.1
206,626,-671,0.1
206,641,-681,0.1
206,644,-684,0.1
204,643,-684,0.1
204,631,-679,0.1
204,633,-676,0.1
204,638,-678,0.1
204,638,-678,0.1
124,640,-677,0.1
124,470,-501,0.1
124,368,-397,0.1
124,359,-386,0.1
124,359,-383,0.1
241,359,-383,0.1
241,591,-634,0.1
241,733,-785,0.1
241,752,-804,0.1
241,754,-805,0.1
58,754,-806,0.1
58,377,-396,0.1
58,163,-173,0.1
58,150,-160,0.1
58,150,-158,0.1
